station,hour,value
1019,12,50
1020,12,28
1021,12,28
1022,12,27
1023,12,35
1024,12,25
1025,12,13
1026,12,9
1027,12,5
1028,12,22
1029,12,30
1030,12,11
1031,12,18
1032,12,30
1033,12,54
1034,12,38
1035,12,39
1036,12,64
1037,12,6
1038,12,20
1039,12,25
1040,12,33
1041,12,50
1042,12,1
1043,12,21
1044,12,25
1045,12,158
1046,12,46
1047,12,46
1048,12,51
1049,12,108
1050,12,14
1000,13,148
1001,13,152
1002,13,29
1003,13,56
1004,13,58
1005,13,57
1006,13,53
1007,13,34
1008,13,14
1009,13,66
1010,13,128
1011,13,66
1012,13,83
1013,13,82
1014,13,36
1015,13,57
1016,13,98
1017,13,189
1018,13,55
1019,13,61
1020,13,37
1021,13,41
1022,13,30
1023,13,29
1024,13,21
1025,13,20
1026,13,11
1027,13,12
1028,13,23
1029,13,25
1030,13,14
1031,13,6
1032,13,22
1033,13,49
1034,13,25
1035,13,32
1036,13,70
1037,13,9
1038,13,27
1039,13,34
1040,13,31
1041,13,68
1042,13,3
1043,13,25
1044,13,45
1045,13,147
1046,13,57
1047,13,53
1048,13,85
1049,13,62
1050,13,24
1000,14,170
1001,14,134
1002,14,32
1003,14,24
1004,14,43
1005,14,45
1006,14,36
1007,14,52
1008,14,11
1009,14,53
1010,14,122
1011,14,94
1012,14,84
1013,14,86
1014,14,24
1015,14,47
1016,14,91
1017,14,136
1018,14,57
1019,14,54
1020,14,35
1021,14,31
1022,14,38
1023,14,27
1024,14,17
1025,14,13
1026,14,24
1027,14,12
1028,14,37
1029,14,23
1030,14,7
1031,14,14
1032,14,41
1033,14,51
1034,14,39
1035,14,44
1036,14,76
1037,14,20
1038,14,40
1039,14,29
1040,14,51
1041,14,74
1042,14,4
1043,14,25
1044,14,24
1045,14,193
1046,14,41
1047,14,61
1048,14,46
1049,14,67
1050,14,16
1000,15,135
1001,15,132
1002,15,58
1003,15,28
1004,15,85
1005,15,49
1006,15,39
1007,15,36
1008,15,5
1009,15,59
1010,15,132
1011,15,69
1012,15,125
1013,15,105
1014,15,38
1015,15,58
1016,15,80
1017,15,126
1018,15,59
1019,15,65
1020,15,29
1021,15,25
1022,15,31
1023,15,25
1024,15,18
1025,15,21
1026,15,11
1027,15,7
1028,15,31
1029,15,20
1030,15,11
1031,15,19
1032,15,13
1033,15,55
1034,15,51
1035,15,28
1036,15,83
1037,15,8
1038,15,21
1039,15,26
1040,15,48
1041,15,81
1042,15,2
1043,15,20
1044,15,29
1045,15,136
1046,15,45
1047,15,60
1048,15,51
1049,15,56
1050,15,28
1000,16,150
1001,16,116
1002,16,80
1003,16,37
1004,16,99
1005,16,61
1006,16,63
1007,16,59
1008,16,17
1009,16,54
1010,16,125
1011,16,72
1012,16,131
1013,16,171
1014,16,47
1015,16,51
1016,16,95
1017,16,123
1018,16,41
1019,16,44
1020,16,37
1021,16,27
1022,16,36
1023,16,21
1024,16,24
1025,16,11
1026,16,16
1027,16,18
1028,16,47
1029,16,13
1030,16,13
1031,16,16
1032,16,26
1033,16,70
1034,16,40
1035,16,61
1036,16,75
1037,16,5
1038,16,23
1039,16,38
1040,16,41
1041,16,124
1042,16,0
1043,16,17
1044,16,18
1045,16,156
1046,16,46
1047,16,27
1048,16,66
1049,16,77
1050,16,17
1000,17,208
1001,17,190
1002,17,69
1003,17,101
1004,17,134
1005,17,130
1006,17,104
1007,17,34
1008,17,7
1009,17,49
1010,17,209
1011,17,90
1012,17,101
1013,17,148
1014,17,45
1015,17,51
1016,17,56
1017,17,99
1018,17,43
1019,17,65
1020,17,51
1021,17,23
1022,17,26
1023,17,19
1024,17,23
1025,17,7
1026,17,34
1027,17,14
1028,17,40
1029,17,31
1030,17,14
1031,17,23
1032,17,16
1033,17,69
1034,17,56
1035,17,82
1036,17,77
1037,17,12
1038,17,26
1039,17,37
1040,17,68
1041,17,149
1042,17,10
1043,17,40
1044,17,18
1045,17,170
1046,17,46
1047,17,40
1048,17,72
1049,17,90
1050,17,16
1000,18,163
1001,18,178
1002,18,91
1003,18,52
1004,18,41
1005,18,65
1006,18,129
1007,18,38
1008,18,12
1009,18,58
1010,18,179
1011,18,76
1012,18,84
1013,18,79
1014,18,49
1015,18,62
1016,18,69
1017,18,96
1018,18,49
1019,18,68
1020,18,46
1021,18,47
1022,18,28
1023,18,25
1024,18,32
1025,18,20
1026,18,12
1027,18,24
1028,18,40
1029,18,45
1030,18,15
1031,18,20
1032,18,27
1033,18,49
1034,18,58
1035,18,43
1036,18,80
1037,18,10
1038,18,25
1039,18,45
1040,18,57
1041,18,82
1042,18,3
1043,18,31
1044,18,29
1045,18,166
1046,18,61
1047,18,73
1048,18,79
1049,18,70
1050,18,10
1000,19,109
1001,19,159
1002,19,47
1003,19,43
1004,19,44
1005,19,18
1006,19,50
1007,19,36
1008,19,18
1009,19,34
1010,19,116
1011,19,53
1012,19,100
1013,19,103
1014,19,43
1015,19,70
1016,19,51
1017,19,83
1018,19,42
1019,19,55
1020,19,19
1021,19,23
1022,19,40
1023,19,35
1024,19,24
1025,19,16
1026,19,4
1027,19,19
1028,19,25
1029,19,19
1030,19,14
1031,19,16
1032,19,29
1033,19,55
1034,19,48
1035,19,26
1036,19,67
1037,19,5
1038,19,32
1039,19,34
1040,19,54
1041,19,99
1042,19,8
1043,19,12
1044,19,24
1045,19,181
1046,19,40
1047,19,55
1048,19,71
1049,19,75
1050,19,14
1000,20,65
1001,20,83
1002,20,28
1003,20,16
1004,20,33
1005,20,18
1006,20,16
1007,20,22
1008,20,14
1009,20,19
1010,20,65
1011,20,42
1012,20,68
1013,20,67
1014,20,20
1015,20,27
1016,20,27
1017,20,49
1018,20,43
1019,20,32
1020,20,17
1021,20,28
1022,20,28
1023,20,25
1024,20,20
1025,20,8
1026,20,3
1027,20,11
1028,20,23
1029,20,35
1030,20,28
1031,20,25
1032,20,29
1033,20,45
1034,20,44
1035,20,32
1036,20,66
1037,20,0
1038,20,47
1039,20,42
1040,20,34
1041,20,52
1042,20,1
1043,20,10
1044,20,13
1045,20,105
1046,20,36
1047,20,32
1048,20,67
1049,20,59
1050,20,0
1000,21,30
1001,21,51
1002,21,20
1003,21,6
1004,21,16
1005,21,2
1006,21,11
1007,21,12
1008,21,12
1009,21,10
1010,21,47
1011,21,30
1012,21,57
1013,21,49
1014,21,1
1015,21,19
1016,21,13
1017,21,18
1018,21,16
1019,21,16
1020,21,16
1021,21,16
1022,21,12
1023,21,16
1024,21,17
1025,21,12
1026,21,10
1027,21,2
1028,21,17
1029,21,21
1030,21,10
1031,21,16
1032,21,15
1033,21,56
1034,21,24
1035,21,16
1036,21,40
1037,21,1
1038,21,22
1039,21,16
1040,21,30
1041,21,22
1042,21,0
1043,21,19
1044,21,17
1045,21,91
1046,21,16
1047,21,33
1048,21,39
1049,21,18
1050,21,0
1000,22,26
1001,22,69
1002,22,18
1003,22,10
1004,22,21
1005,22,1
1006,22,10
1007,22,14
1008,22,1
1009,22,8
1010,22,29
1011,22,37
1012,22,96
1013,22,126
1014,22,3
1015,22,4
1016,22,5
1017,22,16
1018,22,7
1019,22,14
1020,22,4
1021,22,11
1022,22,9
1023,22,7
1024,22,8
1025,22,7
1026,22,7
1027,22,13
1028,22,10
1029,22,15
1030,22,3
1031,22,14
1032,22,15
1033,22,33
1034,22,9
1035,22,13
1036,22,23
1037,22,1
1038,22,5
1039,22,14
1040,22,13
1041,22,15
1042,22,0
1043,22,6
1044,22,6
1045,22,47
1046,22,27
1047,22,21
1048,22,16
1049,22,24
1050,22,0
1000,23,19
1001,23,42
1002,23,4
1003,23,6
1004,23,13
1005,23,3
1006,23,7
1007,23,10
1008,23,4
1009,23,12
1010,23,26
1011,23,15
1012,23,25
1013,23,32
1014,23,1
1015,23,10
1016,23,10
1017,23,1
1018,23,9
1019,23,11
1020,23,13
1021,23,11
1022,23,8
1023,23,4
1024,23,5
1025,23,1
1026,23,2
1027,23,4
1028,23,3
1029,23,14
1030,23,0
1031,23,8
1032,23,6
1033,23,25
1034,23,5
1035,23,11
1036,23,26
1037,23,2
1038,23,4
1039,23,23
1040,23,22
1041,23,20
1042,23,0
1043,23,2
1044,23,4
1045,23,29
1046,23,10
1047,23,6
1048,23,4
1049,23,6
1050,23,0
