station,hour,value
1023,5,5
1023,6,19
1023,7,63
1023,8,148
1023,9,145
1023,10,100
1023,11,100
1023,12,108
1023,13,105
1023,14,91
1023,15,124
1023,16,117
1023,17,100
1023,18,78
1023,19,88
1023,20,59
1023,21,39
1023,22,31
1023,23,18
1024,24,10
1024,1,8
1024,2,2
1024,3,2
1024,4,0
1024,5,4
1024,6,9
1024,7,63
1024,8,109
1024,9,66
1024,10,53
1024,11,84
1024,12,79
1024,13,101
1024,14,72
1024,15,61
1024,16,75
1024,17,77
1024,18,102
1024,19,66
1024,20,63
1024,21,44
1024,22,23
1024,23,14
1025,24,5
1025,1,3
1025,2,3
1025,3,1
1025,4,1
1025,5,83
1025,6,137
1025,7,46
1025,8,90
1025,9,131
1025,10,93
1025,11,87
1025,12,76
1025,13,64
1025,14,58
1025,15,69
1025,16,47
1025,17,34
1025,18,63
1025,19,60
1025,20,34
1025,21,28
1025,22,16
1025,23,4
1026,24,22
1026,1,16
1026,2,1
1026,3,1
1026,4,3
1026,5,5
1026,6,8
1026,7,58
1026,8,123
1026,9,44
1026,10,40
1026,11,72
1026,12,40
1026,13,60
1026,14,81
1026,15,43
1026,16,57
1026,17,84
1026,18,44
1026,19,48
1026,20,56
1026,21,46
1026,22,53
1026,23,33
1027,24,6
1027,1,2
1027,2,0
1027,3,0
1027,4,0
1027,5,7
1027,6,4
1027,7,9
1027,8,18
1027,9,31
1027,10,51
1027,11,47
1027,12,47
1027,13,57
1027,14,55
1027,15,45
1027,16,53
1027,17,52
1027,18,46
1027,19,74
1027,20,38
1027,21,13
1027,22,19
1027,23,10
1028,24,14
1028,1,3
1028,2,3
1028,3,1
1028,4,0
1028,5,3
1028,6,8
1028,7,17
1028,8,54
1028,9,36
1028,10,70
1028,11,90
1028,12,61
1028,13,94
1028,14,88
1028,15,122
1028,16,221
1028,17,145
1028,18,116
1028,19,73
1028,20,78
1028,21,64
1028,22,25
1028,23,14
1029,24,16
1029,1,21
1029,2,9
1029,3,3
1029,4,4
1029,5,7
1029,6,53
1029,7,354
1029,8,102
1029,9,122
1029,10,112
1029,11,76
1029,12,88
1029,13,87
1029,14,71
1029,15,73
1029,16,73
1029,17,103
1029,18,103
1029,19,93
1029,20,87
1029,21,54
1029,22,39
1029,23,31
1030,24,8
1030,1,3
1030,2,0
1030,3,0
1030,4,1
1030,5,3
1030,6,6
1030,7,3
1030,8,23
1030,9,31
1030,10,49
1030,11,39
1030,12,40
1030,13,42
1030,14,42
1030,15,44
