station,hour,value
1021,11,13
1022,11,15
1023,11,22
1024,11,18
1025,11,28
1026,11,13
1027,11,21
1028,11,21
1029,11,13
1030,11,8
1031,11,24
1032,11,17
1033,11,23
1034,11,19
1035,11,20
1036,11,25
1037,11,11
1038,11,42
1039,11,12
1040,11,15
1041,11,14
1042,11,11
1043,11,23
1044,11,36
1045,11,92
1046,11,39
1047,11,34
1048,11,68
1049,11,46
1050,11,59
1051,11,1
1000,12,90
1001,12,123
1002,12,36
1003,12,50
1004,12,51
1005,12,25
1006,12,41
1007,12,17
1008,12,11
1009,12,45
1010,12,84
1011,12,27
1012,12,96
1013,12,59
1014,12,23
1015,12,35
1016,12,63
1017,12,108
1018,12,49
1019,12,66
1020,12,14
1021,12,20
1022,12,14
1023,12,19
1024,12,20
1025,12,25
1026,12,16
1027,12,16
1028,12,9
1029,12,14
1030,12,7
1031,12,17
1032,12,8
1033,12,44
1034,12,40
1035,12,41
1036,12,37
1037,12,26
1038,12,33
1039,12,25
1040,12,22
1041,12,26
1042,12,7
1043,12,14
1044,12,27
1045,12,134
1046,12,49
1047,12,39
1048,12,52
1049,12,66
1050,12,64
1051,12,1
1000,13,105
1001,13,103
1002,13,12
1003,13,38
1004,13,21
1005,13,19
1006,13,24
1007,13,17
1008,13,8
1009,13,40
1010,13,79
1011,13,39
1012,13,63
1013,13,75
1014,13,33
1015,13,16
1016,13,84
1017,13,94
1018,13,39
1019,13,42
1020,13,25
1021,13,25
1022,13,21
1023,13,25
1024,13,31
1025,13,12
1026,13,11
1027,13,9
1028,13,18
1029,13,19
1030,13,7
1031,13,13
1032,13,11
1033,13,34
1034,13,22
1035,13,15
1036,13,32
1037,13,32
1038,13,28
1039,13,19
1040,13,18
1041,13,34
1042,13,5
1043,13,23
1044,13,18
1045,13,139
1046,13,39
1047,13,52
1048,13,58
1049,13,62
1050,13,34
1051,13,0
1000,14,84
1001,14,78
1002,14,34
1003,14,31
1004,14,40
1005,14,20
1006,14,11
1007,14,12
1008,14,6
1009,14,37
1010,14,64
1011,14,41
1012,14,64
1013,14,61
1014,14,36
1015,14,26
1016,14,63
1017,14,99
1018,14,37
1019,14,24
1020,14,29
1021,14,20
1022,14,17
1023,14,21
1024,14,20
1025,14,18
1026,14,22
1027,14,13
1028,14,13
1029,14,13
1030,14,5
1031,14,7
1032,14,12
1033,14,34
1034,14,27
1035,14,35
1036,14,35
1037,14,33
1038,14,34
1039,14,29
1040,14,18
1041,14,39
1042,14,5
1043,14,8
1044,14,29
1045,14,117
1046,14,60
1047,14,30
1048,14,71
1049,14,75
1050,14,36
1051,14,1
1000,15,108
1001,15,75
1002,15,33
1003,15,29
1004,15,29
1005,15,24
1006,15,13
1007,15,24
1008,15,17
1009,15,48
1010,15,69
1011,15,45
1012,15,92
1013,15,46
1014,15,20
1015,15,32
1016,15,55
1017,15,86
1018,15,40
1019,15,40
1020,15,30
1021,15,18
1022,15,15
1023,15,34
1024,15,8
1025,15,10
1026,15,4
1027,15,11
1028,15,28
1029,15,6
1030,15,13
1031,15,13
1032,15,10
1033,15,27
1034,15,28
1035,15,33
1036,15,42
1037,15,28
1038,15,18
1039,15,28
1040,15,27
1041,15,55
1042,15,11
1043,15,24
1044,15,21
1045,15,120
1046,15,31
1047,15,39
1048,15,49
1049,15,72
1050,15,28
1051,15,0
1000,16,146
1001,16,81
1002,16,25
1003,16,47
1004,16,70
1005,16,41
1006,16,56
1007,16,35
1008,16,8
1009,16,31
1010,16,85
1011,16,29
1012,16,91
1013,16,87
1014,16,14
1015,16,37
1016,16,25
1017,16,68
1018,16,10
1019,16,24
1020,16,63
1021,16,21
1022,16,18
1023,16,38
1024,16,14
1025,16,8
1026,16,7
1027,16,13
1028,16,47
1029,16,14
1030,16,2
1031,16,5
1032,16,6
1033,16,29
1034,16,22
1035,16,45
1036,16,38
1037,16,49
1038,16,25
1039,16,16
1040,16,27
1041,16,59
1042,16,3
1043,16,32
1044,16,17
1045,16,105
1046,16,30
1047,16,37
1048,16,47
1049,16,47
1050,16,31
1051,16,0
1000,17,128
1001,17,121
1002,17,39
1003,17,67
1004,17,106
1005,17,91
1006,17,82
1007,17,20
1008,17,13
1009,17,42
1010,17,147
1011,17,64
1012,17,69
1013,17,84
1014,17,17
1015,17,66
